short_name,guitar_easy,guitar_medium,guitar_hard,guitar_expert,bass_easy,bass_medium,bass_hard,bass_expert,drums_easy,drums_medium,drums_hard,drums_expert,guitar_base_easy,guitar_base_medium,guitar_base_hard,guitar_base_expert,bass_base_easy,bass_base_medium,bass_base_hard,bass_base_expert,drums_base_easy,drums_base_medium,drums_base_hard,drums_base_expert,drums_allfills_easy,drums_allfills_medium,drums_allfills_hard,drums_allfills_expert,percussion_hits,nonpercussion_phrases,length
magicbuslive,391,519,933,1279,382,621,1149,1519,1355,1609,2182,2736,12073,22872,38763,49536,10360,16644,30357,40080,33900,40275,54600,68500,26250,31500,42425,53250,167,49,447.37646125
magneticbaby,177,327,557,660,175,294,508,557,488,661,900,1084,4731,9177,15882,20004,4708,7683,13471,15828,12200,16525,22500,27100,9700,13050,17350,20400,0,45,171.621764
mainoffender,261,325,467,560,180,334,422,424,449,607,784,895,7017,8751,17925,23845,4776,8668,10904,10960,11225,15175,19600,22375,9650,13125,16875,19250,23,19,155.59263
makedamnsure,233,393,631,766,201,399,715,797,461,692,1023,1224,6167,13925,23535,30250,5259,10209,18112,20162,11525,17300,25575,30600,9050,13450,19350,22675,0,53,209.60109075
makemesmile,276,481,932,1059,275,456,570,616,691,1056,1421,1728,6956,22331,39808,43071,7307,11808,17484,18684,17275,26400,35525,43200,14375,22125,28500,34200,17,44,247.466741
makesmewonder,194,307,445,811,182,256,336,384,780,1119,1277,1473,4919,12130,17384,27300,4994,6844,9258,10458,19500,27975,31925,36825,15450,22000,24475,27600,0,48,212.630856
maninthebox,287,342,510,632,419,473,656,715,826,1022,1292,1521,8510,15382,21965,27944,10475,11825,16400,18571,20650,25550,32300,38025,16325,19450,24225,27350,60,28,288.237659
manuchao,336,514,604,715,336,481,541,561,466,675,998,1064,8689,23560,26785,29708,9334,12959,14499,15023,11700,16925,25025,27600,9275,13350,19800,21475,19,50,169.128590833
manyshadesofblack,282,376,522,711,235,339,460,537,654,973,1209,1456,7753,17310,24417,31412,6352,8953,13338,15306,16350,24325,30225,36400,13175,19525,24050,28800,0,55,268.993984
maps,246,346,552,638,211,211,387,393,527,920,1281,1706,6312,8981,14206,18087,5395,5395,9965,10511,13175,23000,32025,42650,10300,17900,24475,32675,89,26,198.31599575
marchofthepigs,187,274,325,347,328,488,720,880,394,688,1022,1170,5113,7261,13608,17739,8200,12200,18000,22000,9850,17200,25550,29250,7900,14000,19800,21875,0,23,174.36853825
margaritaville,240,393,767,916,259,460,535,542,857,1327,1511,1708,6219,18598,36965,48073,6511,11659,13627,16925,21700,33525,38375,43525,17050,26025,29475,33325,31,40,257.243032
maryhadalittlelamb,226,367,587,689,161,315,506,628,654,936,1024,1076,5716,11969,19371,26882,4025,7875,13276,16336,16350,23400,25600,26900,13150,18975,20725,21725,48,12,168.475314
maryjane,215,407,703,1029,207,338,512,672,876,1265,1537,1749,5834,13205,22699,37027,5853,10433,15083,19080,21925,31675,38475,43800,17550,25225,30425,34075,16,37,348.242779271
masterexploder,180,333,585,834,85,147,245,279,205,296,412,555,4707,8577,18577,34032,2125,3675,6125,7335,5125,7400,10300,13875,4075,5925,8200,10975,36,18,144.002776
masterslave,82,93,116,139,290,361,435,507,331,415,532,616,4459,4725,5450,6025,7250,9025,12174,13974,8275,10375,13300,15400,6500,8150,10525,12150,0,0,236.41684275
mastersoftheuniverse,540,654,1173,1602,523,764,1021,1037,976,1391,2499,3022,14088,28926,56151,69215,13591,19616,26086,26567,24400,34775,62475,75550,19225,25925,47750,56350,206,14,377.187902
meandmygang,192,357,539,769,177,303,482,560,560,767,1065,1259,5607,11840,20130,26440,4635,7905,12911,14901,14000,19175,26625,31475,11375,15525,20975,23925,0,63,218.531274
meanwomanblues,155,289,387,564,179,240,294,314,417,632,1074,1161,4079,9829,13102,18897,4475,6000,9027,10357,10425,15800,26850,29025,7825,11825,19975,21175,0,29,146.186224
medicate,343,527,749,948,298,497,905,1031,701,1005,1285,1696,9787,18398,25959,35667,8119,13094,24275,27675,17525,25125,32125,42400,14975,21475,26900,35050,0,50,258.403333
megasus,258,473,634,962,250,454,620,830,652,917,1623,2230,6909,14812,20133,32542,6568,11728,16280,23240,16300,22925,40575,55750,12200,17450,29825,40100,0,28,224.9066955
melatonin,212,401,675,808,311,619,1167,1235,611,901,1243,1457,6468,16181,27689,35334,7961,15667,29379,31079,15275,22525,31075,36425,12875,18925,26025,30475,10,31,252.02952
mellowshipslinkyinbmajor,281,454,701,808,294,449,714,907,632,1022,1220,1658,7127,11633,23315,26545,7557,11708,19407,24199,15800,25550,30500,41450,12200,20400,23450,32075,0,57,242.716158
messageinabottle,342,485,729,855,411,480,600,647,809,1131,1926,2310,11855,17729,25318,28705,14042,16014,19428,20627,20225,28275,48150,57750,16100,22175,37375,44200,24,59,288.006243
metalonmetal,320,396,586,819,254,455,588,704,584,1016,1316,1817,8492,16643,23861,31198,6476,11543,14883,18602,14600,25400,32900,45425,11625,20500,25550,32925,32,38,245.344576663
mica,240,418,684,841,200,335,518,622,524,758,1270,1638,6780,16478,38002,47422,7523,10904,16525,23245,13100,18950,31750,40950,10575,15775,26250,32175,48,30,221.570151
midnightrider,160,213,279,394,199,278,390,448,405,759,928,1440,5483,7273,12736,15699,5104,7103,10754,12816,10125,18975,23200,36000,8050,14900,17875,27950,40,21,185.396077
missindependent,237,340,592,795,105,164,187,199,564,795,1042,1485,5925,12650,21024,26141,2961,4892,5722,6022,14100,19875,26050,37125,11250,16000,20500,29350,0,57,218.37237905
missmurder,196,434,566,813,217,355,533,687,491,732,976,1142,5360,11737,22048,29573,5923,9373,15140,18999,12275,18300,24400,28550,9850,14875,19225,22275,0,48,198.356028917
missqueen,123,200,269,301,149,215,321,340,382,594,779,961,3639,5550,8952,10294,3785,5441,8103,9409,9575,14900,19525,24075,8600,13750,17775,21525,56,19,162.821004
mollychambers,217,317,507,574,220,376,539,616,433,629,974,1095,5461,11114,19620,27266,5536,9478,13727,15652,10825,15725,24350,27375,8900,12675,19250,21675,0,33,137.592512079
moneytalks_live,247,335,624,712,224,411,713,713,566,734,891,928,6337,11159,19614,23494,5756,10431,18386,18512,14150,18350,22275,23200,10850,14025,16525,16950,0,35,224.423826
monkeygonetoheaven,98,174,214,238,157,271,444,444,561,791,881,990,3395,5694,13976,14368,4189,7435,12162,12381,14025,19775,22025,24750,11100,15450,17025,18725,24,37,177.682268
monkeywrench,341,561,1059,1147,327,557,957,1163,702,1111,1482,2004,8546,23371,46505,58478,8175,13925,24789,29975,17550,27775,37050,50100,14000,22500,28600,37825,0,45,236.203048
monsoon,394,662,731,735,358,680,774,774,644,1006,1205,1316,10527,17553,30467,33178,9804,17383,29873,29879,16100,25150,30125,32900,14150,22250,26525,28925,0,47,239.384866
monster,256,463,774,1112,228,441,604,766,628,773,1149,1522,6451,16369,28784,38005,5856,11196,15319,19392,15700,19325,28725,38050,12250,15400,23000,29575,34,49,222.882248
monymony,192,318,540,581,304,582,860,1152,721,1241,1929,2260,6003,11678,17168,18643,8032,15054,22148,29448,18025,31025,48225,56500,14050,24050,37025,43400,27,46,284.884139
moonagedaydream,232,275,522,705,329,578,709,726,641,923,1200,1288,7709,13773,22545,29458,8920,15070,18653,19106,16025,23075,30000,32200,13425,19000,23300,24775,141,31,282.293374
morehumanthanhuman,164,257,376,502,251,371,799,1054,743,1214,1464,2211,4754,11098,15183,18101,6275,9275,19975,26350,18575,30350,36600,55275,14275,23200,27900,42075,132,44,258.04058
morethanafeeling,382,418,636,741,411,465,694,745,988,1271,1496,1654,11763,18786,26889,29974,12101,13436,19579,20854,24700,31775,37400,41350,20275,26425,30225,32900,93,27,306.554194525
morethanmeetstheeye,286,562,992,1495,316,640,1211,1715,786,1093,1932,2536,7687,17778,32039,45748,8020,16120,30716,43316,19650,27325,48300,63400,15475,22225,38675,49300,0,43,272.1271675
mountainsong,207,440,561,662,278,513,818,1071,530,804,1424,1871,5907,11993,24677,29037,7826,13747,25426,32424,13250,20100,35600,46775,11575,18025,31500,41100,29,38,248.986453
movealong,488,537,699,793,337,337,587,824,563,804,1130,1683,12764,25334,33136,37586,9223,9223,15913,21950,14075,20100,28250,42075,12575,18300,24775,37150,0,44,228.5179533
movinginstereo,322,455,525,562,256,287,358,360,725,1262,1384,1414,9461,16228,22910,24262,8794,9701,11536,11826,18125,31550,34600,35350,14150,24700,26925,27475,145,20,301.780516
movingtoseattle,170,246,648,667,167,284,678,701,543,803,1041,1288,4517,8341,22039,31033,4361,7405,17378,18091,13575,20075,26025,32200,10750,15975,20625,25550,0,29,201.689107
mrbrightside,208,515,853,1062,214,416,724,822,649,949,1384,1780,5317,12992,21645,26870,5728,11305,19170,21620,16225,23725,34600,44500,12600,18800,27025,33800,0,43,222.916008
mrcabdriver,301,429,714,892,309,515,769,866,616,830,1389,1452,7795,18690,33334,40677,7820,12970,20190,22612,15400,20750,34725,36300,12000,16225,27025,28150,137,38,234.103560817
mrgrieves,125,178,294,380,72,135,225,236,218,372,497,590,3493,6848,12600,15818,1902,3498,6007,6291,5450,9300,12425,14750,4650,7850,10250,12050,0,24,131.66595025
mudonthetires,167,313,452,694,131,237,266,287,448,682,865,1190,5114,8860,15665,22687,3746,6396,8870,9353,11200,17050,21625,29750,9375,13925,17200,23700,37,44,211.945556
mybestfriendsgirl,304,417,771,941,249,340,465,494,801,1100,1298,1388,7855,12185,24570,29748,6369,8668,12064,12949,20025,27500,32450,34700,16400,22025,25575,27450,46,45,232.464219
mycurse,394,592,982,1321,250,418,707,825,654,845,1179,1445,10292,17234,31495,44435,7822,12187,19496,23489,16350,21125,29475,36125,13025,16800,22700,27700,84,38,251.165062
mygeneration,270,444,662,719,318,599,781,960,811,1094,1363,1711,7683,12700,26139,30618,8502,15743,20374,25045,20300,27400,34125,42825,14950,19975,24725,30500,248,24,239.123369
myhero,264,523,812,1036,233,497,892,995,450,810,1226,1852,6948,13423,32678,43730,6341,12938,22835,25447,11250,20250,30650,46300,8600,16075,23875,36125,0,29,254.248554
myironlung,460,577,650,767,399,407,729,805,716,1185,1422,1554,13517,17860,20991,24075,10341,10541,18837,21045,17900,29625,35550,38850,14550,24475,29225,32025,0,40,280.30107
mylastwords,289,544,970,1694,274,551,1025,1757,720,1036,1798,2593,9205,15859,31661,50153,7432,14363,27177,45504,18000,25900,44950,64825,14050,20500,34850,48400,47,60,288.4024995
mylovelyman,254,461,703,966,373,623,919,1102,1036,1479,1662,2247,6895,12149,22418,28154,9440,15696,23112,27740,25900,36975,41550,56175,19925,28875,32125,42750,0,50,283.28174125
mynameisjonas,202,398,597,848,170,336,505,625,662,860,1084,1394,5188,16226,24244,33019,4472,8622,12847,15847,16550,21500,27100,34850,13075,16900,21000,26775,0,33,204.9624875
myoldschool,355,517,978,1575,327,482,856,1003,966,1801,2311,2917,9061,18893,34064,56085,8325,12200,21868,25534,24150,45025,57775,72925,18625,35525,44850,55100,194,36,344.736918
myownworstenemy,163,288,494,554,155,273,414,471,430,579,784,887,4096,12242,19640,22247,3890,6840,10365,12303,10750,14475,19600,22175,8600,11225,14500,16550,0,27,172.675212
mypoorbrain,226,412,790,840,263,464,803,823,539,1043,1277,1530,5702,16809,34087,36012,6575,11600,20574,21071,13475,26075,31925,38250,11050,21700,26025,30775,20,32,217.4075115
mysharona,609,728,1025,1158,579,768,932,937,1045,1413,1784,2060,16517,23056,32234,36490,16287,20988,25137,25568,26125,35325,44600,51500,20800,28250,35175,40375,194,32,292.8082945
naive,230,349,442,1073,144,229,279,431,440,680,901,1083,5975,12549,21978,44034,4317,6532,7785,12524,11000,17000,22525,27075,8500,13400,17575,20925,0,60,205.85161875
nakedeye,260,484,876,1040,244,452,822,976,1097,1579,1863,2301,6500,15500,27900,32800,6100,11300,20550,24400,27425,39475,46575,57525,21050,29950,35450,44050,0,53,274.578194
nakedintherain,254,504,853,1240,347,471,909,1233,645,1133,1710,2042,6668,13026,29927,42479,9165,12319,23341,31445,16125,28325,42750,51050,12675,21550,32700,38500,0,44,267.002538
naturaldisaster,190,327,554,778,222,388,632,798,670,911,1159,1298,5266,11421,19753,27760,5595,9745,15863,21291,16750,22775,28975,32450,12700,17400,21800,24275,0,45,219.844524
nearlylostyou,315,379,511,731,326,483,719,797,707,980,1509,1933,8982,17837,23432,31802,8498,12435,18556,20570,17675,24500,37725,48325,13950,19200,28950,36950,26,35,248.76061175
new,337,604,904,1120,247,418,561,605,785,1060,1472,2105,8899,18500,28675,34891,8122,12400,17172,18179,19625,26500,36800,52625,15425,20450,28350,40100,0,62,269.45014
newfang,231,309,459,574,289,367,629,732,692,1080,1393,1883,6615,9734,14544,17759,7263,9229,16029,18604,17300,27000,34825,47075,13875,21400,27650,36950,0,35,230.2752355
newkidinschool,208,274,430,509,279,346,473,483,520,701,854,1013,5893,10234,17641,21976,6990,8665,12128,14508,13000,17525,21350,25325,10200,14150,16625,19075,32,49,217.553616
newmoonrising,225,358,552,798,205,339,473,618,731,1052,1597,1965,6723,10294,16347,22401,5125,8970,13778,17088,18275,26300,39925,49125,13850,19850,30075,36550,0,40,227.240142306
newslang,237,460,649,856,167,224,270,286,549,609,919,1123,6192,17494,26476,37088,6449,7874,10381,10772,13725,15225,22975,28075,10950,12225,18550,22525,15,52,233.066269
newwave,233,312,434,472,217,235,360,368,489,786,1040,1453,6839,10155,16101,17999,6853,7360,11045,13061,12225,19650,26000,36325,9450,15725,20375,28500,0,59,214.888466
newwayhome,364,708,1198,1425,358,643,1027,1257,956,1333,2067,2465,9100,18550,42232,50425,9670,16795,27049,32799,23900,33325,51675,61625,19050,26625,40975,48725,58,60,316.482196
nexttoyou,267,413,425,482,334,358,728,756,567,854,1272,1468,8982,16609,20076,24919,8878,9199,18587,19227,14175,21350,31800,36700,11375,16875,25025,28925,0,47,159.676144
nib,382,511,703,834,395,690,934,968,736,1267,1573,1788,11464,14831,29738,32913,10568,17685,23785,24635,18425,31725,39400,46700,15925,28075,33900,39550,142,35,324.91508675
nightlies,295,437,650,775,279,378,589,629,592,874,1312,1562,7778,12760,20466,24643,7482,10008,15595,16976,14800,21850,32800,39050,11450,16600,24125,28775,155,36,226.58553
nightmare,284,439,740,853,353,681,802,883,713,1017,1222,1337,7829,12244,27189,30038,9011,17994,21070,23650,17950,25550,30675,33550,14525,20750,24675,26050,48,23,270.686066
nightwatchmanlive,265,427,780,1020,225,309,401,584,654,1068,1240,1498,7189,13111,22559,30317,6459,8736,11705,16597,16375,26750,31050,37525,12800,21075,23450,28025,24,31,273.929249321
nineintheafternoon,132,180,293,306,82,151,249,280,341,507,585,635,3516,7174,12134,15219,2058,4007,6545,7416,8525,12675,14625,15875,6900,10250,11700,12550,0,44,186.95630725
nineteenohone,227,340,637,796,213,296,648,712,501,698,1163,1442,5675,15150,28779,36204,5565,7640,16440,18390,12525,17450,29075,36050,9700,13350,22025,27550,0,34,190.218381
no13baby,226,375,703,829,157,317,534,534,760,1220,1355,1523,7982,15328,29302,35155,3937,7937,13374,14754,19000,30500,33875,38075,14475,23400,25675,28925,114,29,235.615635
noexcuses,348,571,672,769,324,447,500,594,595,865,1191,1457,9611,25801,31987,49577,8970,12303,15881,18137,14875,21625,29775,36425,11550,17075,22725,26950,0,36,257.36064475
nohasslenight,108,129,149,167,106,160,219,269,311,563,710,883,3814,5691,6821,8802,3292,4774,6440,7810,7775,14075,17750,22075,6175,11225,13550,16225,0,17,172.3585375
norain,261,404,553,718,196,273,382,474,483,596,967,1053,7820,13892,20305,25139,7602,9527,13234,15538,12075,14900,24175,26325,9600,11950,18675,20225,0,51,219.441001
noregrets,149,292,624,863,154,303,563,930,446,709,1218,1508,3884,12477,26928,34915,3886,7629,14135,23307,11150,17725,30450,37700,9200,14150,24400,30525,0,37,145.626270977
notime,170,251,425,537,233,308,495,621,603,838,1061,1320,6956,10801,15380,20597,7325,9785,15018,18171,15075,20950,26525,33000,12250,17075,21300,25925,0,41,234.7751005
numberofthebeast,514,677,1224,1368,505,722,1451,1455,820,1099,1370,1709,15220,20953,45979,51646,14068,19508,37751,37869,20500,27475,34250,42725,18050,24025,29700,36900,137,37,268.227837
numberofthebeast2,391,555,912,1559,396,661,1109,1571,652,1054,1444,1980,10812,20810,35749,54440,10500,17164,28403,40520,16300,26350,36100,49500,13675,21625,29125,40400,58,44,288.10271
oceanavenue,258,445,611,806,264,435,631,795,639,928,1174,1705,7090,18479,25613,37004,6862,11137,16401,20917,15975,23200,29350,42625,12575,18675,22525,31300,0,45,197.655924854
oceans,138,138,216,436,101,151,271,382,164,250,373,413,4002,7754,11868,19723,2576,4126,7399,10696,4100,6250,9325,10325,3325,5000,7275,7875,0,26,165.65389
oceansize,262,423,662,982,250,452,637,831,558,891,1247,1517,7298,15459,24930,35226,6619,11946,17230,22077,13950,22275,31175,37925,11550,18600,25775,31250,0,31,262.4347565
ohprettywoman,175,324,505,585,192,281,397,448,625,1048,1189,1377,4519,13544,23201,25923,5688,7880,10849,12790,15625,26200,29725,34425,12375,20975,23700,27275,0,32,182.642792
onaplain,361,442,527,667,367,386,656,666,398,691,925,1165,9529,24110,27598,33471,9252,10423,17363,17581,9950,17275,23125,29125,7950,13825,18100,22375,0,42,188.557170225
once,261,446,644,964,254,419,607,736,425,643,1010,1209,7182,17147,24602,35868,6522,10669,15642,18851,10625,16075,25250,30225,8475,12525,18850,22500,0,32,196.9108045
onceinalifetime,180,283,386,565,214,286,287,352,853,1503,1747,2214,5139,11504,16405,23013,5470,7378,7544,9169,21325,37575,43675,55350,16400,28875,33400,42450,0,61,268.92629
oneofthosenights,251,356,620,667,226,362,557,583,561,846,1033,1211,6731,9468,20812,27414,5818,9218,14093,14761,14025,21150,25825,30275,11425,16875,20150,23100,0,43,211.875568
onestepcloser,217,380,424,558,184,288,355,365,407,606,768,950,5425,10500,18446,25758,4600,7200,9407,9713,10175,15150,19200,23750,7925,12125,15225,18625,0,39,159.789234
onevision,150,194,293,492,157,242,370,660,632,960,1116,1422,5196,10593,14977,22162,4090,6275,9994,17242,15800,24000,27900,35550,13325,19725,23175,29700,0,44,234.5341225
onewayoranother,268,410,573,684,281,418,615,620,660,936,1488,1754,9819,15397,24145,31144,7379,10810,17403,18830,16500,23400,37200,43850,12650,17750,28250,32475,31,47,230.245132
ontheroadagain,126,215,366,500,124,244,307,315,251,378,990,1259,3787,6069,12511,20944,3148,6148,7723,9495,6275,9450,24750,31475,4600,6950,18100,22950,0,25,154.37232
oobydooby,151,216,327,368,92,160,293,554,346,516,774,1108,3895,5745,10948,13388,2396,4108,7608,14131,8650,12900,19350,27700,6425,9875,14500,20700,48,20,142.909024
openingband,246,327,548,716,140,244,270,317,433,621,887,1056,6294,15625,24675,31674,3905,6580,7986,9258,10825,15525,22175,26400,8850,12875,18175,21725,0,46,192.8753755
orangecrush,241,338,570,608,211,353,505,506,715,961,1441,2034,6493,8918,15402,17252,7213,10556,14401,14429,17875,24025,36025,50850,13600,18275,27650,39250,46,29,232.585068
originofthespecies,235,415,646,900,172,316,396,406,512,839,999,1334,5875,10420,19077,29576,4525,8125,10126,11540,12800,20975,24975,33350,9975,16550,19500,26075,0,72,243.309932
ourlipsaresealed,138,215,352,430,173,306,457,558,579,934,1041,1288,4710,9024,14181,16231,4397,7722,11995,14529,14475,23350,26025,32200,11675,18525,20000,24750,16,31,163.079236
ourtruth,222,343,502,633,217,323,571,641,488,618,881,1111,6009,11207,16654,22164,5866,8519,14758,17333,12200,15450,22025,27775,9500,11925,16725,20775,30,30,215.481482
outhereallnight,300,464,837,1188,292,450,859,1164,744,1056,1429,1913,7650,17145,30557,52256,7624,11574,21802,29436,18600,26400,35725,47825,14925,20875,27625,36425,0,42,203.40175
outside,603,732,1011,1214,286,517,596,679,615,1311,1809,2885,16572,31126,35513,40436,9847,15667,17627,19546,15375,32775,45225,72125,11600,25000,33950,54825,53,44,294.36035625
painandpleasure,284,295,423,555,173,174,221,221,504,749,848,903,8588,15477,22372,28490,4868,5592,7066,7066,12600,18725,21200,22575,10700,16050,18000,19100,14,43,259.1170337
painkiller,303,699,1256,2029,324,548,1076,1910,1269,1905,2547,3236,8401,18484,35637,55907,8298,13922,27451,48356,31725,47625,63675,80900,25750,38925,51400,64850,152,35,366.676261
panicattack,759,985,1658,2767,766,1039,1757,2776,1817,2277,3049,3821,19605,29134,47494,76676,19795,26647,44822,70552,45425,56925,76225,95525,35550,44850,59075,73350,284,36,439.566548163
paranoid,352,609,683,730,391,697,772,772,502,824,1040,1226,9367,16792,31172,32998,9775,17425,19675,19675,13100,21225,26625,31300,11000,17775,22025,25525,0,23,179.0334975
parasitelive,238,364,594,849,202,332,474,635,603,988,1328,1923,6667,12888,20546,27537,5692,8960,12954,16946,15075,24700,33200,48075,12900,21450,27850,38875,96,18,210.02812275
pda,360,645,1159,1301,340,569,1133,1189,730,1097,1811,2216,9000,24900,45200,52622,8668,14393,28493,30388,18250,27425,45275,55400,14225,21400,35050,42850,28,46,301.058226
peaceofmind,525,538,906,1051,509,533,992,1072,1179,1681,1944,2223,16730,25424,37790,43982,15707,16167,27599,29649,29475,42025,48600,55575,23250,33575,38050,43725,122,40,330.980468
peacesells,268,491,868,1160,291,585,1076,1180,739,974,1559,2032,7292,14072,24747,32413,7467,15034,27309,29909,18475,24350,38975,50800,14325,18650,29850,38800,24,42,243.2929455
peoplegotalotofnerve,157,278,394,502,162,162,236,273,377,579,872,1032,4511,9173,13648,16335,4462,6046,8367,9269,9425,14475,21800,25800,7500,11425,17200,20300,0,28,152.939689779
perfectdrug,402,518,992,1079,352,356,720,725,690,1071,1530,1996,11854,17743,34655,37553,8800,9020,18272,18397,17250,26775,38250,49900,13400,21000,29925,38775,0,46,319.0356465
perfectinsanity,283,436,945,1020,318,498,1019,1067,708,963,1327,1783,8071,13577,30414,36473,8307,12822,25868,27086,17700,24075,33175,44575,13850,18800,25550,33675,12,55,234.423876
perfektewelle,236,364,402,444,228,348,377,420,515,769,856,912,6704,17234,19851,21651,6886,9914,10666,11880,12875,19225,21400,22800,10350,15550,17100,17900,0,43,195.661280335
pickmeup,515,781,1235,1634,457,658,944,1201,1060,1451,1941,2294,14309,27846,42371,59379,12727,20218,27905,43239,26500,36275,48525,57350,20350,28325,36925,41975,0,31,390.751876269
pickupthepieces,288,458,655,741,203,248,346,361,583,989,1157,1413,7768,12190,24271,28917,5702,6989,10351,10698,14575,24725,28925,35325,11775,19975,23000,27450,226,12,242.408473
pieceofmyheart,220,356,571,772,160,310,575,751,631,905,1182,1508,6066,12228,19794,25189,4281,8187,15151,19551,15775,22625,29550,37700,12775,18475,23200,28725,0,49,269.794107002
pigsinzen,268,499,713,1104,281,572,885,1177,655,986,1415,1991,6790,15190,28674,39522,7025,14321,22293,29649,16375,24650,35375,49775,13075,19350,27500,38775,46,44,273.436055
pilgrim,379,667,801,969,343,616,678,789,784,1110,1492,1793,10249,22248,26899,34576,9061,17495,19734,22476,19625,27800,37350,44900,15625,22350,29150,33425,0,27,291.63842925
pinballwizard,195,323,495,728,144,243,354,405,276,472,696,893,6057,9275,20039,28494,3690,6252,9783,11058,6900,11800,17400,22325,5675,9675,14125,18075,0,27,188.153406
pleasure,367,503,725,849,352,598,687,724,496,981,1095,1189,10147,14246,23950,27260,9022,15178,17830,18769,12400,24525,27375,29725,11075,21825,24000,26100,46,27,220.137269
pointofknowreturn,246,335,470,645,205,319,371,421,494,688,937,1075,6619,14603,18706,25321,5797,9013,10673,12169,12350,17200,23425,26875,10150,14175,18525,21125,0,40,185.587513
poison,243,392,565,802,220,387,556,637,661,908,1182,1408,7095,14962,21157,27490,6866,11737,16232,18848,16525,22700,29550,35200,13000,17875,22550,26000,0,50,284.31628
poisonwasthecure,176,275,495,854,212,402,733,1112,522,744,1308,1631,5016,8752,18202,28687,5798,11022,20610,30283,13050,18600,32700,40775,10850,15800,27325,33225,0,24,179.192136304
policetruck,223,388,540,701,229,424,623,817,508,722,932,1293,6131,10481,14755,19569,5819,10706,15687,20545,12725,18100,23350,32375,9975,14200,18000,24800,0,26,147.807174667
polly,226,368,422,582,145,229,313,399,4,4,8,8,5887,9437,21904,26811,3817,5917,9277,11427,100,100,200,200,100,100,200,200,0,62,179.375724
porch,181,323,524,863,160,267,429,539,407,640,1163,1604,6046,14318,21807,32582,5655,8459,13578,16821,10175,16000,29075,40100,8175,12875,23425,31775,0,37,216.020376221
porkandbeans,168,300,484,532,109,214,363,415,602,941,996,1036,4200,12300,20909,23851,2749,5374,9099,10578,15050,23525,24900,25900,12050,19200,20025,20500,0,37,185.922962
powerslave,450,670,1139,1734,489,716,1276,1749,1010,1728,2628,3289,14288,25313,38836,55285,13958,21309,36263,48142,25275,43250,65750,82275,20075,33550,50325,62075,34,48,409.369435625
prayeroftherefugee,266,383,669,753,265,378,740,907,690,887,1116,1408,7424,14998,24636,28217,7447,10296,19715,24439,17250,22175,27900,35200,14650,18675,22625,28025,0,53,204.967677
precious,272,469,725,1008,291,446,578,753,696,1051,1272,1559,7040,16628,28658,39915,7515,11813,15113,20682,17400,26275,31800,38975,13250,20175,24275,29675,0,23,216.568604
prequeltothesequel,344,591,1023,1657,380,644,901,1227,748,1167,1979,2641,8842,18790,31720,50820,10139,17054,24289,33168,18700,29175,49475,66025,14825,22775,38525,50700,64,47,320.4764675
pretendweredead,214,302,593,665,205,313,645,694,576,820,1246,1468,6586,13027,23319,27469,6001,8725,17176,18410,14450,20575,31225,36800,10975,15700,22900,25400,0,45,236.745402
prettyflyforawhiteguy,186,263,396,453,189,298,414,499,542,708,1230,1393,4686,6611,18909,23859,6045,8452,12405,14389,13550,17700,30750,34825,10625,13800,24100,26925,0,72,185.737812
prettyinpink,343,345,722,723,258,381,620,622,601,916,1340,1451,9568,15820,30147,33109,6570,9645,16574,18931,15025,22900,33500,36275,11325,17200,25100,27300,84,44,242.023338
prettynoose,271,469,734,901,264,411,622,731,496,802,1141,1502,7406,19805,32797,41945,7245,10989,27280,31602,12400,20050,28525,37550,9750,16050,22475,28475,0,33,256.7802265
prideandjoy,232,459,680,1043,216,419,622,835,509,825,897,1346,5836,16423,24229,36802,5446,10521,15654,21121,12725,20625,22425,33650,9675,15575,16525,24475,36,32,222.472021
promisedland,178,270,523,596,182,309,514,552,445,658,810,977,5536,12594,20526,23141,5483,8694,14596,15579,11150,16500,20325,24525,8925,13025,15600,18575,15,40,220.652961
prophecylive,316,495,849,987,288,502,894,975,693,1045,1290,1490,8829,20406,33353,36914,7200,13267,23412,25450,17325,26125,32250,37250,13975,20725,24225,27400,0,55,352.05376025
prostitute,211,316,431,539,173,245,273,275,802,1552,2135,2705,8046,16115,20566,23337,7840,11450,12868,12918,20050,38800,53375,67625,15550,29950,40625,52000,0,52,375.051725554
psychokiller,250,429,590,754,205,467,686,733,725,913,1091,1374,6466,17175,27123,32556,5239,11861,17342,19479,18125,22825,27275,34350,13900,17650,20775,26250,76,38,260.71804325
psychosocial,319,542,971,1393,298,509,921,1178,747,1097,1506,2023,8017,22019,35704,49309,7450,12773,23103,29952,18675,27425,37650,50575,15075,21275,28950,38325,0,56,279.013605
pumpitup,223,425,708,821,302,479,671,761,690,966,1464,1815,6121,12436,27420,32441,7724,12155,17171,19577,17250,24150,36600,45375,13100,18175,27525,34200,80,30,209.484686
pushit,243,441,468,550,255,482,566,597,422,609,1016,1468,6363,11373,21342,27673,6375,12050,14150,14925,10550,15225,25400,36700,8125,11975,19500,28175,0,32,158.238888
queenbitch,270,465,527,711,267,419,539,547,633,1055,1229,1484,8416,14281,26192,31138,8041,12061,15061,15258,15825,26375,30725,37100,13575,22850,26325,31450,0,44,188.518341037
radioradio,208,341,574,720,203,393,577,770,500,709,1142,1553,5792,16411,29767,37156,5280,10030,15005,19844,12500,17725,28550,38825,10200,14400,23050,30525,0,50,188.824752
